Genome	1545B_19F_3_S6_paired_1.fastq.gz Relative Abundance (%)
unmapped	73.81369
MAG_155	0.00030343546
MAG_193	0.0011896886
MAG_249	0.3152535
MAG_121	0.0006015643
280	0.000018995635
MAG_199	0.00008755389
MAG_51	0.005368734
MAG_18	0.00001869819
2	0.00042684167
maxbin2.0181_sub	0.09460077
MAG_284	0.000108628825
MAG_278	0.00040890565
284_sub	0.000005872552
MAG_162	0.00006981952
44_sub	0.00056787493
102_sub	0.0001321558
MAG_53	0.05320846
MAG_229	0.00011884943
MAG_289	0.00021545654
MAG_222_sub	0.000060740414
MAG_315	0.0003585891
4_sub	0.0005685432
MAG_128	0.00020126438
MAG_172	0.00018647997
27	0.0005783129
MAG_33	0.015554437
58	0.000060498423
142_sub	0.00024770803
MAG_294	0.0016068427
MAG_74	0.00075688143
145	0.441475
MAG_114	0.000006506937
MAG_130	0.00021143489
67	0.052760873
MAG_37	0.12504996
MAG_148	0.0014024159
MAG_305	0.0004588571
MAG_313	0.0061819414
maxbin2.0025_sub	0.12675446
107_sub	0.0004902375
MAG_200	0.00023974445
MAG_319	0.00255558
158_sub	0.004249095
MAG_13	0.00007089442
MAG_45	1.0307533
76	0.00025237302
MAG_307	0.052743178
MAG_236	0.0004305459
245_sub	0.00054246315
MAG_149_sub	0.00003084782
119_sub	0.03257798
MAG_334	0.0056455154
MAG_119	0.000039677685
275_sub	0.014642594
MAG_140	0.00043146496
288_sub	0.00029420113
112_sub	1.2077317
MAG_164	0.0012126329
MAG_326	0.0033362634
MAG_92	0.00034302654
MAG_144	0.0004385473
117_sub	4.15491
MAG_292	2.5178144
MAG_217_sub	0.0049534924
52_sub	0.0001230967
MAG_306	0.19464038
81_sub	1.1291025
MAG_234	0.000091037764
MAG_332_sub	0.000066262895
163	0.00011477234
MAG_24	0.00033480258
243_sub	0.000011676367
MAG_269_sub	0.0010138686
MAG_346	0.0046655363
MAG_214	0.0004115138
287_sub	0.8281895
MAG_216	0.0029770914
MAG_300_sub	0.000022207187
45_sub	0.257676
MAG_244	0.00030565143
MAG_273_sub	0.0014334933
MAG_126	0.0063812914
MAG_280_sub	0.00017636734
MAG_226	0.00019399296
MAG_29	1.9850545
123_sub	0.0071207676
170_sub	0.00016527927
MAG_63	0.0002717947
MAG_263	0.0012331618
259_sub	0.00021071492
MAG_202	0.009787973
MAG_321	0.00019424382
169_sub	0.00019864918
MAG_42_sub	0.000028798479
223_sub	0.0000892167
MAG_133	0.00080586015
31_sub	0.00034663233
26_sub	0.0007658427
73_sub	0.0005610193
MAG_80_sub	0.0018677599
270_sub	0.00003405827
MAG_224	0.003975392
103_sub	0.0016676703
184_sub	0.000082348146
MAG_247	0.00008764114
MAG_12	0.00033852665
MAG_39	0.00008026125
53_sub	0.00016823038
244_sub	4.5549107
174	0.0003767934
MAG_171	0.0077802823
138_sub	0.00961675
MAG_316	0.00033542013
190	0.0026539841
MAG_117	0.0002218174
MAG_108	0.0014511722
131_sub	0.00013165845
MAG_58	0.0006947674
97_sub	0.0003436625
MAG_134	0.000027974156
273_sub	0.00097968
MAG_56_sub	0.00004779226
MAG_206	0.00020985791
MAG_153_sub	2.4261508
MAG_116	0.007661525
MAG_95	0.0002698395
MAG_235	0.00048236668
MAG_330	0.13672741
MAG_341	4.216638
16_sub	0.00007305556
MAG_94	0.0014010328
MAG_210	0.005246772
MAG_46	0.0032596604
MAG_314	0.00020911505
MAG_142	0.00029350116
MAG_141	0.00072468526
MAG_277	0.00019245764
238_sub	0.0034776854
MAG_328	0.02521239
289	0.0025646468
127_sub	0.00074723427
MAG_327_sub	0.0482045
