Genome	1545B_8_H3_S4_paired_1.fastq.gz Relative Abundance (%)
unmapped	77.31396
MAG_155	0.00034409596
MAG_193	0.0029930482
MAG_249	0.01591297
MAG_121	0.17331441
280	0.0000499755
MAG_199	0.00019988215
MAG_51	0.02869305
MAG_18	0.00008097654
2	0.0045245183
maxbin2.0181_sub	0.32480657
MAG_284	0.00022907935
MAG_278	0.026070897
284_sub	0.0041156784
MAG_162	0.0015377001
44_sub	0.0012608308
102_sub	0.00020713761
MAG_53	0.005670263
MAG_229	0.033579536
MAG_289	0.0003242936
MAG_222_sub	0.00052877906
MAG_315	0.016362246
4_sub	0.006690352
MAG_128	0.00027460596
MAG_172	0.000110074
27	0.00002060627
MAG_33	1.2913862
58	0.000048715905
142_sub	0.00056408235
MAG_294	0.029561898
MAG_74	0.0016133236
145	0.2927989
MAG_114	0.00042132518
MAG_130	0.00023960276
67	0.109836675
MAG_37	0.00085345516
MAG_148	0.0129698105
MAG_305	0.0013176793
MAG_313	0.034612104
maxbin2.0025_sub	0.33508602
107_sub	0.032860525
MAG_200	0.01803068
MAG_319	0.54475224
158_sub	0.095735535
MAG_13	0.0002690821
MAG_45	0.0062359083
76	0.05099856
MAG_307	0.0004640283
MAG_236	0.0044175796
245_sub	0.00020691908
MAG_149_sub	0.0016861404
119_sub	0.27909106
MAG_334	0.0102125965
MAG_119	0.00069325214
275_sub	0.007071089
MAG_140	0.011461103
288_sub	0.0010845825
112_sub	0.032059714
MAG_164	0.019569298
MAG_326	1.4206398
MAG_92	0.00040111682
MAG_144	0.00019718848
117_sub	0.034218308
MAG_292	0.011969235
MAG_217_sub	0.12893754
52_sub	0.0011547805
MAG_306	0.8262452
81_sub	0.2510535
MAG_234	0.00015219241
MAG_332_sub	0.00018582953
163	0.0005961386
MAG_24	0.005653825
243_sub	0.000014617192
MAG_269_sub	0.006532082
MAG_346	0.34133667
MAG_214	0.036830887
287_sub	1.1095786
MAG_216	0.013773254
MAG_300_sub	0.0029510926
45_sub	0.8603346
MAG_244	0.00009782442
MAG_273_sub	0.6771934
MAG_126	0.0031859605
MAG_280_sub	0.14293292
MAG_226	0.0025361124
MAG_29	0.2438368
123_sub	0.001848401
170_sub	0.00054776325
MAG_63	0.023441792
MAG_263	0.0048982324
259_sub	0.0014631369
MAG_202	0.0006394714
MAG_321	0.0151800765
169_sub	0.0000185943
MAG_42_sub	0.0002975276
223_sub	0.0005369265
MAG_133	0.006279863
31_sub	0.0020912853
26_sub	0.3087547
73_sub	0.008800361
MAG_80_sub	0.009906948
270_sub	0.00066129357
MAG_224	0.14086342
103_sub	0.0016019797
184_sub	0.09575106
MAG_247	0.00012559441
MAG_12	0.000551922
MAG_39	0.00009671808
53_sub	0.000022609242
244_sub	0.042652074
174	0.04781713
MAG_171	0.00061465305
138_sub	9.136268
MAG_316	0.00052714086
190	0.7868486
MAG_117	0.0002375699
MAG_108	0.0000738793
131_sub	0.000075870026
MAG_58	0.0006420574
97_sub	0.000022098651
MAG_134	0.00026804078
273_sub	0.007789435
MAG_56_sub	0.00029028594
MAG_206	0.0059556076
MAG_153_sub	0.0064463997
MAG_116	0.14164779
MAG_95	0.04797041
MAG_235	0.0026875164
MAG_330	0.0068124337
MAG_341	0.21158694
16_sub	0.00022958247
MAG_94	0.001852904
MAG_210	0.017421348
MAG_46	0.0026176032
MAG_314	0.000295971
MAG_142	0.00040976593
MAG_141	0.0004909915
MAG_277	0.000980458
238_sub	0.00017163262
MAG_328	0.9185007
289	0.017647056
127_sub	0.5589633
MAG_327_sub	0.09620194
