Genome	U1547B_9H2_S14_L004_paired_1.fastq.gz Relative Abundance (%)
unmapped	54.300453
MAG_155	0.0035264464
MAG_193	0.0015287623
MAG_249	0.000012001291
MAG_121	0.000012579132
280	0.00026255986
MAG_199	0.000019515574
MAG_51	0.006663552
MAG_18	0.0011218115
2	0.00017993066
maxbin2.0181_sub	0.004025295
MAG_284	0.000004794882
MAG_278	0.000029516905
284_sub	0.000005647449
MAG_162	0.00015544986
44_sub	0.0010898496
102_sub	0.00055531744
MAG_53	13.571123
MAG_229	0.00019189426
MAG_289	0.0019570806
MAG_222_sub	0.0008530181
MAG_315	0.000004180393
4_sub	0.1440389
MAG_128	0.002455747
MAG_172	0.002525957
27	0.00058315933
MAG_33	0.00014249202
58	0.003016797
142_sub	0.0010894912
MAG_294	0.0003782534
MAG_74	0.0022765088
145	0.004525096
MAG_114	0.0000052289856
MAG_130	0.001516747
67	0.00013504874
MAG_37	0.012018975
MAG_148	0.00016984646
MAG_305	0.0008330548
MAG_313	0.014309171
maxbin2.0025_sub	0.007839314
107_sub	0.00024559215
MAG_200	0.00008372117
MAG_319	0.0026195075
158_sub	0.0017143528
MAG_13	0.0022707963
MAG_45	0.028657924
76	0.00018678563
MAG_307	0.00037012924
MAG_236	0.0021188832
245_sub	0.0022268307
MAG_149_sub	0.000037647696
119_sub	0.000085754735
MAG_334	0.0012646199
MAG_119	0.000016751801
275_sub	0.0019886184
MAG_140	0.015622562
288_sub	0.0018263997
112_sub	0.0039049922
MAG_164	0.00078465167
MAG_326	0.0005621645
MAG_92	0.00018072179
MAG_144	0.0012610045
117_sub	0.5699977
MAG_292	0.0015221952
MAG_217_sub	0.0018293711
52_sub	0.00076092524
MAG_306	0.00004763596
81_sub	0.051793966
MAG_234	0.0005438081
MAG_332_sub	0.004428673
163	0.00021247118
MAG_24	0.000018737901
243_sub	0.00002634092
MAG_269_sub	0.0018758884
MAG_346	0.00014685413
MAG_214	0.004300843
287_sub	0.0017225808
MAG_216	0
MAG_300_sub	0.000007545771
45_sub	0.004590132
MAG_244	0.000030155523
MAG_273_sub	0.000007807308
MAG_126	0.0033315439
MAG_280_sub	0.000007784614
MAG_226	0.00041956137
MAG_29	29.903238
123_sub	0.00043638935
170_sub	0.0008310739
MAG_63	0.0005715309
MAG_263	0.0009203349
259_sub	0.0009850764
MAG_202	0.0398011
MAG_321	0.0020888469
169_sub	0.00009259237
MAG_42_sub	0.00060523546
223_sub	0.000008391359
MAG_133	0.0030474917
31_sub	0.0014808343
26_sub	0.0023967803
73_sub	0.0000134287
MAG_80_sub	0.000047053036
270_sub	0.007674398
MAG_224	0.0018243821
103_sub	0.00081251794
184_sub	0.000010164415
MAG_247	0.002792108
MAG_12	0.017608203
MAG_39	0.0065295873
53_sub	0.00009263382
244_sub	0.045217413
174	0.00045926808
MAG_171	0.00032179285
138_sub	0.00063564925
MAG_316	0.002471293
190	0.000013467357
MAG_117	0.0006129205
MAG_108	0.004064616
131_sub	0.000014099102
MAG_58	0.0010184909
97_sub	0.0010925442
MAG_134	0.0000041690037
273_sub	0.08887053
MAG_56_sub	0.000044782926
MAG_206	0.0011059991
MAG_153_sub	0.0006446354
MAG_116	0.0019956292
MAG_95	0.000014833837
MAG_235	0.00095457234
MAG_330	0.55608225
MAG_341	0.00006086426
16_sub	0.0003260478
MAG_94	0.006936193
MAG_210	0.0031142903
MAG_46	0.45579943
MAG_314	0.0066650617
MAG_142	0.00067228224
MAG_141	0.010185022
MAG_277	0.0013861111
238_sub	0.006464733
MAG_328	0.00027828728
289	0.00011562993
127_sub	0.00015578126
MAG_327_sub	0.0010074915
