Genome	1545B_4_H3_S3_paired_1.fastq.gz TPM
MAG_155	158.53903
MAG_193	656.2705
MAG_249	43.606674
MAG_121	3248.0356
280	15.150617
MAG_199	11.852126
MAG_51	96.11587
MAG_18	11.872545
2	23245.064
maxbin2.0181_sub	3860.4353
MAG_284	103.17964
MAG_278	2380.1514
284_sub	7794.903
MAG_162	207.85732
44_sub	51332.06
102_sub	214.41656
MAG_53	33.787693
MAG_229	233.27519
MAG_289	344.10272
MAG_222_sub	47.692062
MAG_315	7325.0605
4_sub	31.196636
MAG_128	41.79495
MAG_172	70.3416
27	2399.1484
MAG_33	29321.836
58	42.3616
142_sub	2145.1238
MAG_294	2424.509
MAG_74	1366.1229
145	537.55444
MAG_114	221.65791
MAG_130	59.27007
67	1980.5751
MAG_37	7.0078826
MAG_148	1082.0865
MAG_305	17.839945
MAG_313	98.705246
maxbin2.0025_sub	6027.054
107_sub	422.5966
MAG_200	2403.9102
MAG_319	151523.06
158_sub	4705.1978
MAG_13	713.0865
MAG_45	56.698357
76	6897.4565
MAG_307	5.2011952
MAG_236	2782.5593
245_sub	1438.5991
MAG_149_sub	11.715978
119_sub	80.84741
MAG_334	699.7532
MAG_119	17.859419
275_sub	53.42241
MAG_140	18.367334
288_sub	721.2025
112_sub	1049.9131
MAG_164	1346.8634
MAG_326	116042.8
MAG_92	54.94031
MAG_144	445.16446
117_sub	139.91313
MAG_292	53.30007
MAG_217_sub	2344.1736
52_sub	29.947542
MAG_306	47919.145
81_sub	97.09687
MAG_234	175.67944
MAG_332_sub	174.13335
163	101.74345
MAG_24	1016.5601
243_sub	8.690084
MAG_269_sub	496.70163
MAG_346	37432.016
MAG_214	4549.038
287_sub	43818.9
MAG_216	1727.7947
MAG_300_sub	948.40076
45_sub	54815.953
MAG_244	6.888289
MAG_273_sub	25.967018
MAG_126	37.127422
MAG_280_sub	5943.1675
MAG_226	2117.7642
MAG_29	2175.155
123_sub	779.9725
170_sub	77.27312
MAG_63	2259.2273
MAG_263	86603.09
259_sub	173.02919
MAG_202	11.050779
MAG_321	1039.2717
169_sub	20.773495
MAG_42_sub	121.14548
223_sub	154.14328
MAG_133	385.0524
31_sub	17824.37
26_sub	9698.624
73_sub	40628.95
MAG_80_sub	716.48535
270_sub	622.152
MAG_224	8001.2427
103_sub	894.5414
184_sub	5982.387
MAG_247	122.545334
MAG_12	1940.3306
MAG_39	1127.0532
53_sub	134.18997
244_sub	307.88187
174	32.368294
MAG_171	131.11221
138_sub	152.47684
MAG_316	300.7277
190	646.6643
MAG_117	117.424835
MAG_108	13277.608
131_sub	270.55777
MAG_58	74.25892
97_sub	21.628494
MAG_134	101.91699
273_sub	55.13541
MAG_56_sub	376.85797
MAG_206	6628.2964
MAG_153_sub	730.7032
MAG_116	8441.678
MAG_95	8912.847
MAG_235	12841.153
MAG_330	31.818611
MAG_341	1594.3214
16_sub	47.915405
MAG_94	4721.607
MAG_210	40822.11
MAG_46	15.137632
MAG_314	101.78373
MAG_142	1362.797
MAG_141	5487.8784
MAG_277	462.0999
238_sub	23.128428
MAG_328	59499.273
289	2198.5107
127_sub	425.76443
MAG_327_sub	3583.592
