Genome	1547B_5H_3_S11_paired_1.fastq.gz TPM
MAG_155	139.0131
MAG_193	629.4608
MAG_249	293.3775
MAG_121	151.21394
280	12.704349
MAG_199	138.01604
MAG_51	8693.181
MAG_18	0
2	2982.7334
maxbin2.0181_sub	49773.574
MAG_284	38.058254
MAG_278	583.8126
284_sub	375.1459
MAG_162	107.19208
44_sub	2144.8926
102_sub	32.485435
MAG_53	696.50146
MAG_229	143.37334
MAG_289	28.823214
MAG_222_sub	20.751852
MAG_315	1113.947
4_sub	2415.59
MAG_128	12.755178
MAG_172	7.473481
27	11.655685
MAG_33	28022.498
58	10.208347
142_sub	76.29249
MAG_294	2294.9734
MAG_74	108.2694
145	7572.3335
MAG_114	16.909601
MAG_130	24.527935
67	21434.682
MAG_37	56666.363
MAG_148	50261.902
MAG_305	301.59882
MAG_313	5542.9653
maxbin2.0025_sub	42754.906
107_sub	14400.452
MAG_200	149.54607
MAG_319	23960.793
158_sub	6484.5435
MAG_13	8.594527
MAG_45	3897.9329
76	1482.4579
MAG_307	100965.43
MAG_236	9313.592
245_sub	21.88361
MAG_149_sub	294.64206
119_sub	1115.6108
MAG_334	615.5899
MAG_119	26.201145
275_sub	1229.3208
MAG_140	1452.9917
288_sub	54.50195
112_sub	8324.394
MAG_164	691.7538
MAG_326	20015.453
MAG_92	17.70795
MAG_144	11.178067
117_sub	39451.613
MAG_292	1651.0144
MAG_217_sub	12626.43
52_sub	3915.9944
MAG_306	85092.125
81_sub	7111.904
MAG_234	35.89386
MAG_332_sub	39.626476
163	41.357967
MAG_24	249.55275
243_sub	7.295424
MAG_269_sub	606.1024
MAG_346	38396.426
MAG_214	39.30464
287_sub	94212.86
MAG_216	388.00433
MAG_300_sub	90.18252
45_sub	44392.168
MAG_244	85.8955
MAG_273_sub	455.5507
MAG_126	534.87585
MAG_280_sub	85.20731
MAG_226	55.66825
MAG_29	24110.39
123_sub	613.4254
170_sub	69.40796
MAG_63	1511.2766
MAG_263	189.89644
259_sub	129.26491
MAG_202	46.164642
MAG_321	1078.5079
169_sub	7.2019353
MAG_42_sub	102.66208
223_sub	34.24993
MAG_133	454.02054
31_sub	9.243051
26_sub	11.916934
73_sub	91.78493
MAG_80_sub	599.7476
270_sub	296.8111
MAG_224	5844.917
103_sub	887.33374
184_sub	61.68263
MAG_247	33.628727
MAG_12	40.180435
MAG_39	13.156947
53_sub	27.767246
244_sub	9402.435
174	55.130627
MAG_171	3963.8574
138_sub	147.13142
MAG_316	30.510462
190	282.47842
MAG_117	17.456507
MAG_108	16.950434
131_sub	11.540358
MAG_58	48.19041
97_sub	6.5290565
MAG_134	352.94202
273_sub	1848.1669
MAG_56_sub	27.673977
MAG_206	156.41696
MAG_153_sub	1045.2625
MAG_116	9606.167
MAG_95	61.833054
MAG_235	67.71618
MAG_330	417.43405
MAG_341	18794.775
16_sub	23.616175
MAG_94	322.76483
MAG_210	4018.0454
MAG_46	2055.4526
MAG_314	28.36147
MAG_142	69.74164
MAG_141	50.20093
MAG_277	40.013863
238_sub	32.957096
MAG_328	17888.262
289	802.8661
127_sub	171.9865
MAG_327_sub	82136.914
