Genome	1549B-3H2_S8_L004_paired_1.fastq.gz TPM
MAG_155	1030.2283
MAG_193	22181.389
MAG_249	139.69287
MAG_121	3434.8032
280	269.6662
MAG_199	811.18304
MAG_51	1265.9388
MAG_18	3971.0276
2	537.67975
maxbin2.0181_sub	6615.2305
MAG_284	315.56683
MAG_278	2193.7732
284_sub	2129.6162
MAG_162	2266.5334
44_sub	6180.5884
102_sub	13161.786
MAG_53	235.36995
MAG_229	1141.3689
MAG_289	3219.2039
MAG_222_sub	2887.615
MAG_315	7869.5474
4_sub	59401.996
MAG_128	4453.0205
MAG_172	1117.0725
27	440.58676
MAG_33	6709.669
58	933.00824
142_sub	58043.55
MAG_294	6917.7856
MAG_74	6654.442
145	262.58795
MAG_114	791.5495
MAG_130	265.88196
67	2116.0168
MAG_37	16.614025
MAG_148	149.1979
MAG_305	115.31672
MAG_313	1636.8114
maxbin2.0025_sub	7338.307
107_sub	970.01544
MAG_200	2009.3217
MAG_319	8870.689
158_sub	3714.2104
MAG_13	498.9658
MAG_45	138.87715
76	601.7993
MAG_307	4.5980735
MAG_236	670.55615
245_sub	5749.772
MAG_149_sub	1278.1627
119_sub	1988.7819
MAG_334	31566.873
MAG_119	21.777205
275_sub	150.37668
MAG_140	380.31134
288_sub	2925.4338
112_sub	460.68964
MAG_164	33338.28
MAG_326	12355.913
MAG_92	162.53333
MAG_144	3124.9507
117_sub	282.73877
MAG_292	364.45966
MAG_217_sub	1672.0299
52_sub	3224.807
MAG_306	6109.7417
81_sub	29.455425
MAG_234	2960.4263
MAG_332_sub	276.15964
163	447.7286
MAG_24	725.51135
243_sub	247.74251
MAG_269_sub	3190.5425
MAG_346	29677.193
MAG_214	17687.025
287_sub	13718.14
MAG_216	394.43805
MAG_300_sub	3279.7273
45_sub	42454.574
MAG_244	21.829145
MAG_273_sub	64.45773
MAG_126	119.377785
MAG_280_sub	220.1829
MAG_226	3792.5288
MAG_29	708.2545
123_sub	7472.4805
170_sub	626.1884
MAG_63	4413.522
MAG_263	2569.8403
259_sub	2044.2941
MAG_202	4063.2617
MAG_321	4980.547
169_sub	7159.2935
MAG_42_sub	1233.2957
223_sub	16645.54
MAG_133	6511.3013
31_sub	1145.9076
26_sub	12065.9375
73_sub	355.30484
MAG_80_sub	848.65936
270_sub	185.2961
MAG_224	18498.453
103_sub	4736.02
184_sub	406.79297
MAG_247	1832.7555
MAG_12	4629.4326
MAG_39	322.0567
53_sub	917.33124
244_sub	826.1041
174	773.48834
MAG_171	3897.379
138_sub	857.67773
MAG_316	2881.0615
190	537.89264
MAG_117	818.7277
MAG_108	10904.872
131_sub	4412.3643
MAG_58	72568.99
97_sub	197.15358
MAG_134	125.96356
273_sub	331.8992
MAG_56_sub	28856.24
MAG_206	1431.2485
MAG_153_sub	206.22266
MAG_116	18852.83
MAG_95	85.89378
MAG_235	993.7221
MAG_330	82398.91
MAG_341	4.9947186
16_sub	9798.93
MAG_94	18821.086
MAG_210	13139.212
MAG_46	1102.2277
MAG_314	43733.035
MAG_142	17479.438
MAG_141	64118.496
MAG_277	5078.6313
238_sub	1302.598
MAG_328	4875.728
289	707.66077
127_sub	1027.2178
MAG_327_sub	1315.1635
