Genome	U1545B_4H2_S18_L004_paired_1.fastq.gz TPM
MAG_155	75.31885
MAG_193	721.3418
MAG_249	28.178007
MAG_121	3872.2012
280	12.175024
MAG_199	13.037177
MAG_51	113.17422
MAG_18	7.087339
2	14994.235
maxbin2.0181_sub	4072.7766
MAG_284	11226.073
MAG_278	2379.1096
284_sub	9508.328
MAG_162	241.76804
44_sub	25122.828
102_sub	225.80392
MAG_53	38.755516
MAG_229	660.73895
MAG_289	560.2191
MAG_222_sub	33.789238
MAG_315	7494.4624
4_sub	26.79508
MAG_128	34.680767
MAG_172	85.68319
27	5390.589
MAG_33	57404.55
58	6782.2983
142_sub	4361.547
MAG_294	2197.8293
MAG_74	1364.1884
145	446.75464
MAG_114	162.27731
MAG_130	42.58637
67	1457.5265
MAG_37	2.7914004
MAG_148	1452.1467
MAG_305	18.098879
MAG_313	251.02356
maxbin2.0025_sub	6719.8955
107_sub	595.09766
MAG_200	7285.2075
MAG_319	24185.113
158_sub	4909.9893
MAG_13	941.7187
MAG_45	49.71753
76	9319.793
MAG_307	4.4938817
MAG_236	705.5425
245_sub	4351.2666
MAG_149_sub	13.35671
119_sub	57.276066
MAG_334	488.80728
MAG_119	15.749942
275_sub	62.474995
MAG_140	16.763168
288_sub	1251.5679
112_sub	798.7363
MAG_164	1607.9901
MAG_326	146068.66
MAG_92	46.91046
MAG_144	548.8184
117_sub	72.48346
MAG_292	94.09659
MAG_217_sub	2545.6697
52_sub	31.097189
MAG_306	57672
81_sub	101.91981
MAG_234	126.9118
MAG_332_sub	154.72917
163	9743.843
MAG_24	1187.7739
243_sub	4.6097527
MAG_269_sub	548.01196
MAG_346	49780.883
MAG_214	3355.2998
287_sub	35073.83
MAG_216	3482.1272
MAG_300_sub	985.931
45_sub	39808.73
MAG_244	7.1028204
MAG_273_sub	32.20682
MAG_126	41.31937
MAG_280_sub	14949.066
MAG_226	2530.5608
MAG_29	99.06644
123_sub	764.93164
170_sub	9857.59
MAG_63	4051.466
MAG_263	50632.555
259_sub	244.48172
MAG_202	12.350369
MAG_321	1323.1249
169_sub	20.02989
MAG_42_sub	119.646194
223_sub	161.09862
MAG_133	365.4563
31_sub	13192.008
26_sub	10348.237
73_sub	12503.04
MAG_80_sub	674.9259
270_sub	606.23596
MAG_224	12257.761
103_sub	796.01056
184_sub	5342.786
MAG_247	71.77742
MAG_12	3482.564
MAG_39	543.00574
53_sub	124.31534
244_sub	282.2638
174	31.062508
MAG_171	39.855316
138_sub	348.1473
MAG_316	416.8107
190	1437.7124
MAG_117	321.2711
MAG_108	13573.876
131_sub	3829.4453
MAG_58	55.289845
97_sub	25.815704
MAG_134	103.95875
273_sub	46.175167
MAG_56_sub	619.0197
MAG_206	7896.7896
MAG_153_sub	131.13098
MAG_116	8904.818
MAG_95	8135.018
MAG_235	8523.617
MAG_330	98.672966
MAG_341	5.8578405
16_sub	32.253174
MAG_94	3913.3086
MAG_210	32677.557
MAG_46	15.745647
MAG_314	98.83552
MAG_142	2378.7012
MAG_141	25124.094
MAG_277	614.18256
238_sub	34.076603
MAG_328	53160.145
289	3189.8093
127_sub	97066.414
MAG_327_sub	4015.8484
