user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
102_sub	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	43.49	11	0.7955723650497457	Genome has more than 32.5% of markers with multiple hits
103_sub	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__E44-bin15;f__E44-bin15;g__Kmv38;s__	N/A	N/A	N/A	N/A	N/A	GCA_014859165.1	95.0	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__E44-bin15;f__E44-bin15;g__Kmv38;s__Kmv38 sp014859165	81.04	0.46	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__E44-bin15;f__E44-bin15;g__Kmv38;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	45.87	11	0.8551977847503771	N/A
107_sub	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__E44-bin15;f__E44-bin15;g__JADFVG01;s__	N/A	N/A	N/A	N/A	N/A	GCA_015222405.1	95.0	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__E44-bin15;f__E44-bin15;g__JADFVG01;s__JADFVG01 sp015222405	78.75	0.27	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__E44-bin15;f__E44-bin15;g__JADFVG01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	54.01	11	0.88053832873509	Genome has more than 26.7% of markers with multiple hits
112_sub	d__Bacteria;p__Aerophobota;c__Aerophobia;o__Aerophobales;f__B47-G16;g__B47-G16;s__	N/A	N/A	N/A	N/A	N/A	GCA_003648815.1	95.0	d__Bacteria;p__Aerophobota;c__Aerophobia;o__Aerophobales;f__B47-G16;g__B47-G16;s__B47-G16 sp003648815	78.45	0.43	d__Bacteria;p__Aerophobota;c__Aerophobia;o__Aerophobales;f__B47-G16;g__B47-G16;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	74.8	11	0.8635890673026878	N/A
117_sub	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	GCF_003030305.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	99.51	0.98	GCF_003030305.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes	99.51	0.98	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_001642025.1, s__Cutibacterium namnetense, 95.0, 88.32, 0.89; GCF_008326345.1, s__Cutibacterium modestum, 95.0, 85.91, 0.85; GCF_009696315.1, s__Cutibacterium porci, 95.0, 82.56, 0.73; GCF_000227295.1, s__Cutibacterium avidum, 95.0, 81.79, 0.67; GCF_900186975.1, s__Cutibacterium granulosum, 95.0, 79.02, 0.27; GCF_900605005.1, s__Cutibacterium timonense, 95.0, 78.39, 0.28	97.14	11	N/A	N/A
119_sub	d__Bacteria;p__WOR-3;c__UBA3073;o__UBA3073;f__UBA3073;g__UBA3073;s__	N/A	N/A	N/A	N/A	N/A	GCA_002774315.1	95.0	d__Bacteria;p__WOR-3;c__UBA3073;o__UBA3073;f__UBA3073;g__UBA3073;s__UBA3073 sp002774315	82.65	0.6	d__Bacteria;p__WOR-3;c__UBA3073;o__UBA3073;f__UBA3073;g__UBA3073;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_002366725.1, s__UBA3073 sp002366725, 95.0, 79.21, 0.41	78.81	11	0.9060144050647548	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
123_sub	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__E44-bin15;f__E44-bin15;g__Kmv38;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__E44-bin15;f__E44-bin15;g__Kmv38;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	35.39	11	0.8629968315612111	N/A
131_sub	d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__MSB-5A5;f__SM1-73;g__SM23-73-3;s__	N/A	N/A	N/A	N/A	N/A	GCA_001304155.1	95.0	d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__MSB-5A5;f__SM1-73;g__SM23-73-3;s__SM23-73-3 sp001304155	82.46	0.65	d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__MSB-5A5;f__SM1-73;g__SM23-73-3;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	64.52	11	0.8920288448251333	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
138_sub	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__;f__;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	84.73	11	0.6966494317200265	N/A
142_sub	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__SOIV01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__SOIV01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_004377005.1, s__SOIV01 sp004377005, 95.0, 83.0, 0.46; GCA_011049545.1, s__SOIV01 sp011049545, 95.0, 81.63, 0.55; GCA_011773465.1, s__SOIV01 sp011773465, 95.0, 80.97, 0.45; GCA_011772475.1, s__SOIV01 sp011772475, 95.0, 79.76, 0.47; GCA_016783445.1, s__SOIV01 sp016783445, 95.0, 78.13, 0.31	70.81	11	0.9000212815063102	Genome has more than 12.5% of markers with multiple hits;Genome not assigned to closest species as it falls outside its pre-defined ANI radius
